*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCB
*Date=00:08:25
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
213;;;12.0904;-22.9859;0;Bottom;Copper Fill144
214;;;8.7376;-42.8487;0;Bottom;Copper Fill112
215;;;62.357;-28.1802;0;Bottom;Copper Fill16
216;;;10.5156;-42.8487;0;Bottom;Copper Fill54
217;;;70.1889;-60.2608;0;Bottom;Via28
218;;;79.3333;-75.9388;0;Bottom;TXT4
219;;;88.1888;-56.0059;0;Bottom;Copper Fill138
220;;;6.1849;-26.2244;0;Bottom;Copper Fill48
221;33k;THT;16.3689;-30.5709;0;Bottom;R13
222;10k;THT;16.3689;-22.9509;180;Bottom;R12
223;;;70.612;-37.0575;0;Bottom;Copper Fill72
224;;;70.8152;-40.1055;0;Bottom;Copper Fill126
225;;;1.016;-54.7359;0;Bottom;Copper Fill31
226;;;42.0624;-6.4759;0;Bottom;Copper Fill133
227;;;52.9336;-60.3239;0;Bottom;Copper Fill83
228;;300 mil [THT];16.3435;-81.3709;180;Bottom;D1
229;;;10.5156;-42.8487;0;Bottom;Copper Fill113
230;39k;THT;45.5789;-12.7909;0;Bottom;R4
231;;;53.1368;-26.2879;0;Bottom;Copper Fill86
232;;;61.976;-54.3676;0;Bottom;Copper Fill7
233;;;42.2529;-51.218;0;Bottom;Copper Fill88
234;;;77.889;-60.2608;0;Bottom;Via31
235;;;64.2553;-75.9388;0;Bottom;TXT4
236;;300 mil [THT];31.6089;-41.9755;-90;Bottom;D5
237;;;34.6964;-6.4759;0;Bottom;Copper Fill155
238;;;89.8687;-68.304;-90;Bottom;TXT1
239;;;75.3888;-60.2608;0;Bottom;Via30
240;;;1.016;-72.5159;0;Bottom;Copper Fill108
241;;;57.5437;-19.6204;0;Bottom;Copper Fill169
242;;;35.56;-60.8827;0;Bottom;Copper Fill69
243;;;7.3152;-67.6899;0;Bottom;Copper Fill27
244;;;2.93864;-53.6214;0;Bottom;Power
245;;;73.533;-18.706;0;Bottom;Copper Fill98
246;;;1.016;-54.7359;0;Bottom;Copper Fill109
247;;;42.2529;-52.2086;0;Bottom;Copper Fill87
248;;;60.089;-28.6609;0;Bottom;Via2
249;;;44.7802;-76.5799;0;Bottom;Copper Fill125
250;;;61.7093;-74.3828;0;Bottom;Copper Fill111
251;;THT;45.6989;-24.8455;180;Bottom;PC817
252;;;88.759;-80.1009;0;Bottom;Hole4
253;;;70.8152;-40.1055;0;Bottom;Copper Fill43
254;;;53.1627;-42.6003;-90;Bottom;IMG3
255;;;3.9878;-67.6899;0;Bottom;Copper Fill106
256;;;49.4792;-62.1146;0;Bottom;Copper Fill2
257;;;44.7802;-76.5799;0;Bottom;Copper Fill41
258;;;49.4665;-27.088;0;Bottom;Copper Fill79
259;;;15.0749;-27.5452;0;Bottom;Copper Fill76
260;;;27.4701;-60.9716;0;Bottom;Copper Fill34
261;;;3.9878;-49.9099;0;Bottom;Copper Fill33
262;;;47.498;-42.5058;0;Bottom;Copper Fill20
263;;;64.2493;-10.7304;0;Bottom;Copper Fill110
264;;;66.5873;-75.9388;0;Bottom;TXT4
