*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCBv2
*Date=09:16:51
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
303;;;30.6324;-81.4059;0;Bottom;Copper Fill126
304;;;52.6821;-42.4521;-90;Bottom;IMG3
305;;;71.8693;-10.7304;0;Bottom;Copper Fill115
306;;;57.8485;-20.23;0;Bottom;Copper Fill181
307;;;88.1888;-56.0059;0;Bottom;Copper Fill144
308;;;61.9804;-8.78273;0;Bottom;TXT4
309;;;34.989;-11.1609;0;Bottom;Via19
310;;;43.18;-25.8688;0;Bottom;Copper Fill99
311;;;86.6902;-45.8967;0;Bottom;Copper Fill46
312;;;88.759;-80.1009;0;Bottom;Hole4
